手動入力	API 自動取得			URL自動計算	手動入力				
YouTubeリンク	動画タイトル	投稿日	サムネイルURL	再生位置	タイプ	曲名	原曲歌唱	作詞・作曲他	タグ（カンマ区切り）
https://www.youtube.com/watch?v=YGgvEKl_fQ4&t=394	【#にじさんじ歌リレー】一緒に繋ぐ【メリッサ・キンレンカ/にじさんじ】	2020-04-11T07:35:01Z	https://i.ytimg.com/vi/YGgvEKl_fQ4/default.jpg		歌枠	CHE.R.RY	YUI	作詞・作曲：YUI	
https://www.youtube.com/watch?v=YGgvEKl_fQ4&t=647	【#にじさんじ歌リレー】一緒に繋ぐ【メリッサ・キンレンカ/にじさんじ】	2020-04-11T07:35:01Z	https://i.ytimg.com/vi/YGgvEKl_fQ4/default.jpg		歌枠	君はロックを聴かない	あいみょん	作詞・作曲：あいみょん	
https://www.youtube.com/watch?v=YGgvEKl_fQ4&t=913	【#にじさんじ歌リレー】一緒に繋ぐ【メリッサ・キンレンカ/にじさんじ】	2020-04-11T07:35:01Z	https://i.ytimg.com/vi/YGgvEKl_fQ4/default.jpg		歌枠	風になる	つじあやの	作詞・作曲：つじあやの	
https://www.youtube.com/watch?v=YGgvEKl_fQ4&t=1368	【#にじさんじ歌リレー】一緒に繋ぐ【メリッサ・キンレンカ/にじさんじ】	2020-04-11T07:35:01Z	https://i.ytimg.com/vi/YGgvEKl_fQ4/default.jpg		歌枠	長く短い祭	椎名林檎	作詞・作曲：椎名林檎	
https://www.youtube.com/watch?v=k5-dwB0C1Kc&t=7783	【雑談】おひるだ！！【メリッサ・キンレンカ/にじさんじ】	2020-04-15T05:03:59Z	https://i.ytimg.com/vi/k5-dwB0C1Kc/default.jpg		配信	haze	メリッサ・キンレンカ	作詞・作曲・mix：メリッサ・キンレンカ、編曲：友人ABCDEFG	オリジナル,アカペラ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=482	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	カタオモイ	Aimer	作詞・作曲：内澤崇仁	アカペラ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=646	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	Beautiful World	宇多田ヒカル	作詞・作曲：宇多田ヒカル	アカペラ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=730	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	雨とカプチーノ	ヨルシカ (Vocal: suis)	作詞・作曲・編曲：n-buna	アカペラ,短め
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=837	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	脳裏上のクラッカー	ずっと真夜中でいいのに。	Lyrics & Music & Vocal：ACAね、Arrangement：100回嘔吐	アカペラ,短め
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=1006	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	秒針を噛む	ずっと真夜中でいいのに。	Lyrics & Vocal：ACAね、Music：ACAね×ぬゆり、Arrangement：ぬゆり	アカペラ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=1266	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	again	YUI	作詞・作曲：YUI	アカペラ
https://www.youtube.com/watch?v=6DMVk5FF8H4&t=1450	【記念】９万人ありがとう！雑談しつつアカペラる【メリッサ・キンレンカ/にじさんじ】	2020-04-29T12:06:37Z	https://i.ytimg.com/vi/6DMVk5FF8H4/default.jpg		歌枠	少年少女	amazarashi	作詞・作曲：秋田ひろむ	アカペラ,短め
